,from,to,link_type
430,Diplonychus rusticus,Bubulcus ibis,0
431,Aquarius adelaides,Bubulcus ibis,0
432,Limnogonus fossarum,Bubulcus ibis,0
433,Laccotrephes griseus,Bubulcus ibis,0
434,Laccotrephes ruber,Bubulcus ibis,0
435,Ranatra elongata,Bubulcus ibis,0
436,Ranatra filiformis,Bubulcus ibis,0
437,Ranatra varipes,Bubulcus ibis,0
438,Anisops campbelli,Bubulcus ibis,0
439,Hydrovatus confertus,Bubulcus ibis,0
440,Big fish juveniles,Bubulcus ibis,0
441,Parambassis baculis,Ardeola grayii,0
442,Aplocheilus panchax,Ardeola grayii,0
443,Badis badis,Ardeola grayii,0
444,Puntius vittatus,Ardeola grayii,0
445,Rasbora daniconius,Ardeola grayii,0
446,Pethia phutunio,Ardeola grayii,0
447,Trichogaster lalius,Ardeola grayii,0
448,Trichogaster fasciata,Ardeola grayii,0
449,Duttaphrynus melanostictus,Ardeola grayii,0
450,Duttaphrynus scaber,Ardeola grayii,0
451,Fejervarya orissaensis,Ardeola grayii,0
452,Minervarya agricola,Ardeola grayii,0
453,Minervarya pierrei,Ardeola grayii,0
454,Euphlyctis cyanophlyctis,Ardeola grayii,0
455,Hoplobatrachus tigerinus,Ardeola grayii,0
456,Hoplobatrachus crassus,Ardeola grayii,0
457,Sphaerotheca breviceps,Ardeola grayii,0
458,Sphaerotheca rolandae,Ardeola grayii,0
459,Microhyla mymensinghensis,Ardeola grayii,0
460,Uperodon systoma,Ardeola grayii,0
461,Hylarana tytleri,Ardeola grayii,0
462,Polypedates maculatus,Ardeola grayii,0
463,Diplonychus annulatus,Ardeola grayii,0
464,Diplonychus rusticus,Ardeola grayii,0
465,Aquarius adelaides,Ardeola grayii,0
466,Limnogonus fossarum,Ardeola grayii,0
467,Laccotrephes griseus,Ardeola grayii,0
468,Laccotrephes ruber,Ardeola grayii,0
469,Ranatra elongata,Ardeola grayii,0
470,Ranatra filiformis,Ardeola grayii,0
471,Ranatra varipes,Ardeola grayii,0
472,Anisops campbelli,Ardeola grayii,0
473,Hydrovatus confertus,Ardeola grayii,0
474,Macrobrachium malcolmsonii,Ardeola grayii,0
475,Macrobrachium rosenbergii,Ardeola grayii,0
476,Macrobrachium rude,Ardeola grayii,0
477,Macrobrachium equidens,Ardeola grayii,0
478,Tadploes,Ardeola grayii,0
479,Big fish juveniles,Ardeola grayii,0
480,Parambassis baculis,Nycticorax nycticorax,0
481,Aplocheilus panchax,Nycticorax nycticorax,0
482,Badis badis,Nycticorax nycticorax,0
483,Puntius vittatus,Nycticorax nycticorax,0
484,Rasbora daniconius,Nycticorax nycticorax,0
485,Pethia phutunio,Nycticorax nycticorax,0
486,Trichogaster lalius,Nycticorax nycticorax,0
487,Trichogaster fasciata,Nycticorax nycticorax,0
488,Duttaphrynus melanostictus,Nycticorax nycticorax,0
489,Duttaphrynus scaber,Nycticorax nycticorax,0
490,Fejervarya orissaensis,Nycticorax nycticorax,0
491,Minervarya agricola,Nycticorax nycticorax,0
492,Minervarya pierrei,Nycticorax nycticorax,0
493,Euphlyctis cyanophlyctis,Nycticorax nycticorax,0
494,Hoplobatrachus tigerinus,Nycticorax nycticorax,0
495,Hoplobatrachus crassus,Nycticorax nycticorax,0
496,Sphaerotheca breviceps,Nycticorax nycticorax,0
497,Sphaerotheca rolandae,Nycticorax nycticorax,0
498,Microhyla mymensinghensis,Nycticorax nycticorax,0
499,Uperodon systoma,Nycticorax nycticorax,0
500,Hylarana tytleri,Nycticorax nycticorax,0
501,Polypedates maculatus,Nycticorax nycticorax,0
502,Diplonychus annulatus,Nycticorax nycticorax,0
503,Diplonychus rusticus,Nycticorax nycticorax,0
504,Aquarius adelaides,Nycticorax nycticorax,0
505,Limnogonus fossarum,Nycticorax nycticorax,0
506,Laccotrephes griseus,Nycticorax nycticorax,0
507,Laccotrephes ruber,Nycticorax nycticorax,0
508,Ranatra elongata,Nycticorax nycticorax,0
509,Ranatra filiformis,Nycticorax nycticorax,0
510,Ranatra varipes,Nycticorax nycticorax,0
511,Anisops campbelli,Nycticorax nycticorax,0
512,Hydrovatus confertus,Nycticorax nycticorax,0
513,Big fish juveniles,Nycticorax nycticorax,0
514,Parambassis baculis,Haliaeetus leucogaster,0
515,Aplocheilus panchax,Haliaeetus leucogaster,0
516,Netuma thalassina,Haliaeetus leucogaster,0
517,Badis badis,Haliaeetus leucogaster,0
518,Mystus tengara,Haliaeetus leucogaster,0
519,Mystus vittatus,Haliaeetus leucogaster,0
520,Xenentodon cancila,Haliaeetus leucogaster,0
521,Channa punctata,Haliaeetus leucogaster,0
522,Channa striata,Haliaeetus leucogaster,0
523,Channa gachua,Haliaeetus leucogaster,0
524,Oreochromis niloticus,Haliaeetus leucogaster,0
525,Puntius vittatus,Haliaeetus leucogaster,0
526,Rasbora daniconius,Haliaeetus leucogaster,0
527,Pethia phutunio,Haliaeetus leucogaster,0
528,Glossogobius giuris,Haliaeetus leucogaster,0
529,Heteropneustes fossilis,Haliaeetus leucogaster,0
530,Macrognathus pancalus,Haliaeetus leucogaster,0
531,Mastacembelus armatus,Haliaeetus leucogaster,0
532,Notopterus notopterus,Haliaeetus leucogaster,0
533,Trichogaster lalius,Haliaeetus leucogaster,0
534,Trichogaster fasciata,Haliaeetus leucogaster,0
535,Enhydris enhydris,Haliaeetus leucogaster,0
536,Fowlea piscator,Haliaeetus leucogaster,0
537,Bungarus fasciatus,Haliaeetus leucogaster,0
538,Naja naja,Haliaeetus leucogaster,0
539,Big fish juveniles,Haliaeetus leucogaster,0
540,Enhydris enhydris,Spilornis cheela,0
541,Fowlea piscator,Spilornis cheela,0
542,Bungarus fasciatus,Spilornis cheela,0
543,Naja naja,Spilornis cheela,0
544,Parambassis baculis,Alcedo atthis,0
545,Aplocheilus panchax,Alcedo atthis,0
546,Badis badis,Alcedo atthis,0
547,Puntius vittatus,Alcedo atthis,0
548,Rasbora daniconius,Alcedo atthis,0
549,Pethia phutunio,Alcedo atthis,0
550,Trichogaster lalius,Alcedo atthis,0
551,Trichogaster fasciata,Alcedo atthis,0
552,Tadploes,Alcedo atthis,0
553,Fejervarya orissaensis,Alcedo atthis,0
554,Minervarya agricola,Alcedo atthis,0
555,Minervarya pierrei,Alcedo atthis,0
556,Microhyla mymensinghensis,Alcedo atthis,0
557,Uperodon systoma,Alcedo atthis,0
558,Hylarana tytleri,Alcedo atthis,0
559,Polypedates maculatus,Alcedo atthis,0
560,Diplonychus annulatus,Alcedo atthis,0
561,Diplonychus rusticus,Alcedo atthis,0
562,Aquarius adelaides,Alcedo atthis,0
563,Limnogonus fossarum,Alcedo atthis,0
564,Laccotrephes griseus,Alcedo atthis,0
565,Laccotrephes ruber,Alcedo atthis,0
566,Ranatra elongata,Alcedo atthis,0
567,Ranatra filiformis,Alcedo atthis,0
568,Ranatra varipes,Alcedo atthis,0
569,Anisops campbelli,Alcedo atthis,0
