"","PREY_sp","PREDATOR_sp"
"391","Diplonychus annulatus","Tringa nebularia"
"392","Diplonychus rusticus","Tringa nebularia"
"393","Aquarius adelaides","Tringa nebularia"
"394","Limnogonus fossarum","Tringa nebularia"
"395","Laccotrephes griseus","Tringa nebularia"
"396","Laccotrephes ruber","Tringa nebularia"
"397","Ranatra elongata","Tringa nebularia"
"398","Ranatra filiformis","Tringa nebularia"
"399","Ranatra varipes","Tringa nebularia"
"400","Anisops campbelli","Tringa nebularia"
"401","Hydrovatus confertus","Tringa nebularia"
"402","Macrobrachium malcolmsonii","Tringa stagnatilis"
"403","Macrobrachium rosenbergii","Tringa stagnatilis"
"404","Macrobrachium rude","Tringa stagnatilis"
"405","Macrobrachium equidens","Tringa stagnatilis"
"406","Diplonychus annulatus","Tringa stagnatilis"
"407","Diplonychus rusticus","Tringa stagnatilis"
"408","Aquarius adelaides","Tringa stagnatilis"
"409","Limnogonus fossarum","Tringa stagnatilis"
"410","Laccotrephes griseus","Tringa stagnatilis"
"411","Laccotrephes ruber","Tringa stagnatilis"
"412","Ranatra elongata","Tringa stagnatilis"
"413","Ranatra filiformis","Tringa stagnatilis"
"414","Ranatra varipes","Tringa stagnatilis"
"415","Anisops campbelli","Tringa stagnatilis"
"416","Hydrovatus confertus","Tringa stagnatilis"
"417","Parambassis baculis","Tringa glareola"
"418","Aplocheilus panchax","Tringa glareola"
"419","Badis badis","Tringa glareola"
"420","Puntius vittatus","Tringa glareola"
"421","Rasbora daniconius","Tringa glareola"
"422","Pethia phutunio","Tringa glareola"
"423","Trichogaster lalius","Tringa glareola"
"424","Trichogaster fasciata","Tringa glareola"
"425","Macrobrachium malcolmsonii","Tringa glareola"
"426","Macrobrachium rosenbergii","Tringa glareola"
"427","Macrobrachium rude","Tringa glareola"
"428","Macrobrachium equidens","Tringa glareola"
"429","Big fish juveniles","Tringa glareola"
"430","Diplonychus annulatus","Tringa tetanus"
"431","Diplonychus rusticus","Tringa tetanus"
"432","Aquarius adelaides","Tringa tetanus"
"433","Limnogonus fossarum","Tringa tetanus"
"434","Laccotrephes griseus","Tringa tetanus"
"435","Laccotrephes ruber","Tringa tetanus"
"436","Ranatra elongata","Tringa tetanus"
"437","Ranatra filiformis","Tringa tetanus"
"438","Ranatra varipes","Tringa tetanus"
"439","Anisops campbelli","Tringa tetanus"
"440","Hydrovatus confertus","Tringa tetanus"
"441","Parambassis baculis","Chroicocephalus brunnicephalus"
"442","Aplocheilus panchax","Chroicocephalus brunnicephalus"
"443","Badis badis","Chroicocephalus brunnicephalus"
"444","Puntius vittatus","Chroicocephalus brunnicephalus"
"445","Rasbora daniconius","Chroicocephalus brunnicephalus"
"446","Pethia phutunio","Chroicocephalus brunnicephalus"
"447","Trichogaster lalius","Chroicocephalus brunnicephalus"
"448","Trichogaster fasciata","Chroicocephalus brunnicephalus"
"449","Macrobrachium malcolmsonii","Chroicocephalus brunnicephalus"
"450","Macrobrachium rosenbergii","Chroicocephalus brunnicephalus"
"451","Macrobrachium rude","Chroicocephalus brunnicephalus"
"452","Macrobrachium equidens","Chroicocephalus brunnicephalus"
"453","Diplonychus annulatus","Chroicocephalus brunnicephalus"
"454","Diplonychus rusticus","Chroicocephalus brunnicephalus"
"455","Aquarius adelaides","Chroicocephalus brunnicephalus"
"456","Limnogonus fossarum","Chroicocephalus brunnicephalus"
"457","Laccotrephes griseus","Chroicocephalus brunnicephalus"
"458","Laccotrephes ruber","Chroicocephalus brunnicephalus"
"459","Ranatra elongata","Chroicocephalus brunnicephalus"
"460","Ranatra filiformis","Chroicocephalus brunnicephalus"
"461","Ranatra varipes","Chroicocephalus brunnicephalus"
"462","Anisops campbelli","Chroicocephalus brunnicephalus"
"463","Hydrovatus confertus","Chroicocephalus brunnicephalus"
"464","Big fish juveniles","Chroicocephalus brunnicephalus"
"465","Parambassis baculis","Sternula albifrons"
"466","Aplocheilus panchax","Sternula albifrons"
"467","Badis badis","Sternula albifrons"
"468","Puntius vittatus","Sternula albifrons"
"469","Rasbora daniconius","Sternula albifrons"
"470","Pethia phutunio","Sternula albifrons"
"471","Trichogaster lalius","Sternula albifrons"
"472","Trichogaster fasciata","Sternula albifrons"
"473","Macrobrachium malcolmsonii","Sternula albifrons"
"474","Macrobrachium rosenbergii","Sternula albifrons"
"475","Macrobrachium rude","Sternula albifrons"
"476","Macrobrachium equidens","Sternula albifrons"
"477","Big fish juveniles","Sternula albifrons"
"478","Tadploes","Chlidonias hybrida"
"479","Parambassis baculis","Chlidonias hybrida"
"480","Aplocheilus panchax","Chlidonias hybrida"
"481","Badis badis","Chlidonias hybrida"
"482","Puntius vittatus","Chlidonias hybrida"
"483","Rasbora daniconius","Chlidonias hybrida"
"484","Pethia phutunio","Chlidonias hybrida"
"485","Trichogaster lalius","Chlidonias hybrida"
"486","Trichogaster fasciata","Chlidonias hybrida"
"487","Macrobrachium malcolmsonii","Chlidonias hybrida"
"488","Macrobrachium rosenbergii","Chlidonias hybrida"
"489","Macrobrachium rude","Chlidonias hybrida"
"490","Macrobrachium equidens","Chlidonias hybrida"
"491","Diplonychus annulatus","Chlidonias hybrida"
"492","Diplonychus rusticus","Chlidonias hybrida"
"493","Aquarius adelaides","Chlidonias hybrida"
"494","Limnogonus fossarum","Chlidonias hybrida"
"495","Laccotrephes griseus","Chlidonias hybrida"
"496","Laccotrephes ruber","Chlidonias hybrida"
"497","Ranatra elongata","Chlidonias hybrida"
"498","Ranatra filiformis","Chlidonias hybrida"
"499","Ranatra varipes","Chlidonias hybrida"
"500","Anisops campbelli","Chlidonias hybrida"
"501","Hydrovatus confertus","Chlidonias hybrida"
"502","Big fish juveniles","Chlidonias hybrida"
"503","Tadploes","Sterna aurantia"
"504","Parambassis baculis","Sterna aurantia"
"505","Aplocheilus panchax","Sterna aurantia"
"506","Badis badis","Sterna aurantia"
"507","Puntius vittatus","Sterna aurantia"
"508","Rasbora daniconius","Sterna aurantia"
"509","Pethia phutunio","Sterna aurantia"
"510","Trichogaster lalius","Sterna aurantia"
"511","Trichogaster fasciata","Sterna aurantia"
"512","Macrobrachium malcolmsonii","Sterna aurantia"
"513","Macrobrachium rosenbergii","Sterna aurantia"
"514","Macrobrachium rude","Sterna aurantia"
"515","Macrobrachium equidens","Sterna aurantia"
"516","Diplonychus annulatus","Sterna aurantia"
"517","Diplonychus rusticus","Sterna aurantia"
"518","Aquarius adelaides","Sterna aurantia"
"519","Limnogonus fossarum","Sterna aurantia"
"520","Laccotrephes griseus","Sterna aurantia"
"521","Laccotrephes ruber","Sterna aurantia"
"522","Ranatra elongata","Sterna aurantia"
