"","PREY_sp","PREDATOR_sp"
"333","Microhyla mymensinghensis","Ardea alba"
"334","Uperodon systoma","Ardea alba"
"335","Hylarana tytleri","Ardea alba"
"336","Polypedates maculatus","Ardea alba"
"337","Diplonychus annulatus","Ardea alba"
"338","Diplonychus rusticus","Ardea alba"
"339","Aquarius adelaides","Ardea alba"
"340","Limnogonus fossarum","Ardea alba"
"341","Laccotrephes griseus","Ardea alba"
"342","Laccotrephes ruber","Ardea alba"
"343","Ranatra elongata","Ardea alba"
"344","Ranatra filiformis","Ardea alba"
"345","Ranatra varipes","Ardea alba"
"346","Anisops campbelli","Ardea alba"
"347","Hydrovatus confertus","Ardea alba"
"348","Big fish juveniles","Ardea alba"
"349","Parambassis baculis","Ardea intermedia"
"350","Aplocheilus panchax","Ardea intermedia"
"351","Badis badis","Ardea intermedia"
"352","Puntius vittatus","Ardea intermedia"
"353","Rasbora daniconius","Ardea intermedia"
"354","Pethia phutunio","Ardea intermedia"
"355","Trichogaster lalius","Ardea intermedia"
"356","Trichogaster fasciata","Ardea intermedia"
"357","Duttaphrynus melanostictus","Ardea intermedia"
"358","Duttaphrynus scaber","Ardea intermedia"
"359","Fejervarya orissaensis","Ardea intermedia"
"360","Minervarya agricola","Ardea intermedia"
"361","Minervarya pierrei","Ardea intermedia"
"362","Euphlyctis cyanophlyctis","Ardea intermedia"
"363","Hoplobatrachus tigerinus","Ardea intermedia"
"364","Hoplobatrachus crassus","Ardea intermedia"
"365","Sphaerotheca breviceps","Ardea intermedia"
"366","Sphaerotheca rolandae","Ardea intermedia"
"367","Microhyla mymensinghensis","Ardea intermedia"
"368","Uperodon systoma","Ardea intermedia"
"369","Hylarana tytleri","Ardea intermedia"
"370","Polypedates maculatus","Ardea intermedia"
"371","Diplonychus annulatus","Ardea intermedia"
"372","Diplonychus rusticus","Ardea intermedia"
"373","Aquarius adelaides","Ardea intermedia"
"374","Limnogonus fossarum","Ardea intermedia"
"375","Laccotrephes griseus","Ardea intermedia"
"376","Laccotrephes ruber","Ardea intermedia"
